D#/Eb Mixolydian b13,D#/Eb F G G#/Ab A#/Bb B C#/Db
E Mixolydian b13,E F#/Gb G#/Ab A B C D
F Mixolydian b13,F G A A#/Bb C C#/Db D#/Eb
F#/Gb Mixolydian b13,F#/Gb G#/Ab A#/Bb B C#/Db D E
G Mixolydian b13,G A B C D D#/Eb F
G#/Ab Mixolydian b13,G#/Ab A#/Bb C C#/Db D#/Eb E F#/Gb
A Mixolydian b13,A B C#/Db D E F G
A#/Bb Mixolydian b13,A#/Bb C D D#/Eb F F#/Gb G#/Ab
B Mixolydian b13,B C#/Db D#/Eb E F#/Gb G A
C Locrian #2,C D D#/Eb F F#/Gb G#/Ab A#/Bb
C#/Db Locrian #2,C#/Db D#/Eb E F#/Gb G A B
D Locrian #2,D E F G G#/Ab A#/Bb C
D#/Eb Locrian #2,D#/Eb F F#/Gb G#/Ab A B C#/Db
E Locrian #2,E F#/Gb G A A#/Bb C D
F Locrian #2,F G G#/Ab A#/Bb B C#/Db D#/Eb
F#/Gb Locrian #2,F#/Gb G#/Ab A B C D E
G Locrian #2,G A A#/Bb C C#/Db D#/Eb F
G#/Ab Locrian #2,G#/Ab A#/Bb B C#/Db D E F#/Gb
A Locrian #2,A B C D D#/Eb F G
A#/Bb Locrian #2,A#/Bb C C#/Db D#/Eb E F#/Gb G#/Ab
B Locrian #2,B C#/Db D E F G A
C super Locrian,C C#/Db D#/Eb E F#/Gb G#/Ab A#/Bb
C#/Db super Locrian,C#/Db D E F G A B
D super Locrian,D D#/Eb F F#/Gb G#/Ab A#/Bb C
D#/Eb super Locrian,D#/Eb E F#/Gb G A B C#/Db
E super Locrian,E F G G#/Ab A#/Bb C D
F super Locrian,F F#/Gb G#/Ab A B C#/Db D#/Eb
F#/Gb super Locrian,F#/Gb G A A#/Bb C D E
G super Locrian,G G#/Ab A#/Bb B C#/Db D#/Eb F
G#/Ab super Locrian,G#/Ab A B C D E F#/Gb
A super Locrian,A A#/Bb C C#/Db D#/Eb F G
A#/Bb super Locrian,A#/Bb B C#/Db D E F#/Gb G#/Ab
B super Locrian,B C D D#/Eb F G A
C whole half diminished,C D D#/Eb F F#/Gb G#/Ab A B
C#/Db whole half diminished,C#/Db D#/Eb E F#/Gb G A A#/Bb C
D whole half diminished,D E F G G#/Ab A#/Bb B C#/Db
D#/Eb whole half diminished,D#/Eb F F#/Gb G#/Ab A B C D
E whole half diminished,E F#/Gb G A A#/Bb C C#/Db D#/Eb
F whole half diminished,F G G#/Ab A#/Bb B C#/Db D E
F#/Gb whole half diminished,F#/Gb G#/Ab A B C D D#/Eb F
G whole half diminished,G A A#/Bb C C#/Db D#/Eb E F#/Gb
G#/Ab whole half diminished,G#/Ab A#/Bb B C#/Db D E F G
A whole half diminished,A B C D D#/Eb F F#/Gb G#/Ab
A#/Bb whole half diminished,A#/Bb C C#/Db D#/Eb E F#/Gb G A
B whole half diminished,B C#/Db D E F G G#/Ab A#/Bb
C half whole diminished,C C#/Db D#/Eb E F#/Gb G A A#/Bb
C#/Db half whole diminished,C#/Db D E F G G#/Ab A#/Bb B
D half whole diminished,D D#/Eb F F#/Gb G#/Ab A B C
D#/Eb half whole diminished,D#/Eb E F#/Gb G A A#/Bb C C#/Db
E half whole diminished,E F G G#/Ab A#/Bb B C#/Db D
F half whole diminished,F F#/Gb G#/Ab A B C D D#/Eb
F#/Gb half whole diminished,F#/Gb G A A#/Bb C C#/Db D#/Eb E
G half whole diminished,G G#/Ab A#/Bb B C#/Db D E F
G#/Ab half whole diminished,G#/Ab A B C D D#/Eb F F#/Gb
A half whole diminished,A A#/Bb C C#/Db D#/Eb E F#/Gb G
A#/Bb half whole diminished,A#/Bb B C#/Db D E F G G#/Ab
B half whole diminished,B C D D#/Eb F F#/Gb G#/Ab A
C enigmatic,C C#/Db E F#/Gb G#/Ab A#/Bb B
C#/Db enigmatic,C#/Db D F G A B C
D enigmatic,D D#/Eb F#/Gb G#/Ab A#/Bb C C#/Db
D#/Eb enigmatic,D#/Eb E G A B C#/Db D
E enigmatic,E F G#/Ab A#/Bb C D D#/Eb
F enigmatic,F F#/Gb A B C#/Db D#/Eb E
F#/Gb enigmatic,F#/Gb G A#/Bb C D E F
G enigmatic,G G#/Ab B C#/Db D#/Eb F F#/Gb
G#/Ab enigmatic,G#/Ab A C D E F#/Gb G
A enigmatic,A A#/Bb C#/Db D#/Eb F G G#/Ab
A#/Bb enigmatic,A#/Bb B D E F#/Gb G#/Ab A
B enigmatic,B C D#/Eb F G A A#/Bb
C double harmonic,C C#/Db E F G G#/Ab B
C#/Db double harmonic,C#/Db D F F#/Gb G#/Ab A C
D double harmonic,D D#/Eb F#/Gb G A A#/Bb C#/Db
D#/Eb double harmonic,D#/Eb E G G#/Ab A#/Bb B D
E double harmonic,E F G#/Ab A B C D#/Eb
F double harmonic,F F#/Gb A A#/Bb C C#/Db E
F#/Gb double harmonic,F#/Gb G A#/Bb B C#/Db D F
G double harmonic,G G#/Ab B C D D#/Eb F#/Gb
G#/Ab double harmonic,G#/Ab A C C#/Db D#/Eb E G
A double harmonic,A A#/Bb C#/Db D E F G#/Ab
A#/Bb double harmonic,A#/Bb B D D#/Eb F F#/Gb A
B double harmonic,B C D#/Eb E F#/Gb G A#/Bb
C Hungarian minor,C D D#/Eb F#/Gb G G#/Ab B
C#/Db Hungarian minor,C#/Db D#/Eb E G G#/Ab A C
D Hungarian minor,D E F G#/Ab A A#/Bb C#/Db
D#/Eb Hungarian minor,D#/Eb F F#/Gb A A#/Bb B D
E Hungarian minor,E F#/Gb G A#/Bb B C D#/Eb
F Hungarian minor,F G G#/Ab B C C#/Db E
F#/Gb Hungarian minor,F#/Gb G#/Ab A C C#/Db D F
G Hungarian minor,G A A#/Bb C#/Db D D#/Eb F#/Gb
G#/Ab Hungarian minor,G#/Ab A#/Bb B D D#/Eb E G
A Hungarian minor,A B C D#/Eb E F G#/Ab
A#/Bb Hungarian minor,A#/Bb C C#/Db E F F#/Gb A
B Hungarian minor,B C#/Db D F F#/Gb G A#/Bb
C Persian,C C#/Db E F F#/Gb G#/Ab B
C#/Db Persian,C#/Db D F F#/Gb G A C
D Persian,D D#/Eb F#/Gb G G#/Ab A#/Bb C#/Db
D#/Eb Persian,D#/Eb E G G#/Ab A B D
E Persian,E F G#/Ab A A#/Bb C D#/Eb
F Persian,F F#/Gb A A#/Bb B C#/Db E
F#/Gb Persian,F#/Gb G A#/Bb B C D F
G Persian,G G#/Ab B C C#/Db D#/Eb F#/Gb
G#/Ab Persian,G#/Ab A C C#/Db D E G
A Persian,A A#/Bb C#/Db D D#/Eb F G#/Ab
A#/Bb Persian,A#/Bb B D D#/Eb E F#/Gb A
B Persian,B C D#/Eb E F G A#/Bb
C Arabian,C D E F F#/Gb G#/Ab A#/Bb
C#/Db Arabian,C#/Db D#/Eb F F#/Gb G A B
D Arabian,D E F#/Gb G G#/Ab A#/Bb C
D#/Eb Arabian,D#/Eb F G G#/Ab A B C#/Db
E Arabian,E F#/Gb G#/Ab A A#/Bb C D
F Arabian,F G A A#/Bb B C#/Db D#/Eb
F#/Gb Arabian,F#/Gb G#/Ab A#/Bb B C D E
G Arabian,G A B C C#/Db D#/Eb F
G#/Ab Arabian,G#/Ab A#/Bb C C#/Db D E F#/Gb
A Arabian,A B C#/Db D D#/Eb F G
A#/Bb Arabian,A#/Bb C D D#/Eb E F#/Gb G#/Ab
B Arabian,B C#/Db D#/Eb E F G A
C Japanese,C C#/Db F G G#/Ab
C#/Db Japanese,C#/Db D F#/Gb G#/Ab A
D Japanese,D D#/Eb G A A#/Bb
D#/Eb Japanese,D#/Eb E G#/Ab A#/Bb B
E Japanese,E F A B C
F Japanese,F F#/Gb A#/Bb C C#/Db
F#/Gb Japanese,F#/Gb G B C#/Db D
G Japanese,G G#/Ab C D D#/Eb
G#/Ab Japanese,G#/Ab A C#/Db D#/Eb E
A Japanese,A A#/Bb D E F
A#/Bb Japanese,A#/Bb B D#/Eb F F#/Gb
B Japanese,B C E F#/Gb G
C Egyptian,C D F G A#/Bb
C#/Db Egyptian,C#/Db D#/Eb F#/Gb G#/Ab B
D Egyptian,D E G A C
D#/Eb Egyptian,D#/Eb F G#/Ab A#/Bb C#/Db
E Egyptian,E F#/Gb A B D
F Egyptian,F G A#/Bb C D#/Eb
F#/Gb Egyptian,F#/Gb G#/Ab B C#/Db E
G Egyptian,G A C D F
G#/Ab Egyptian,G#/Ab A#/Bb C#/Db D#/Eb F#/Gb
A Egyptian,A B D E G
A#/Bb Egyptian,A#/Bb C D#/Eb F G#/Ab
B Egyptian,B C#/Db E F#/Gb A
C Hirajoshi,C D D#/Eb G G#/Ab
C#/Db Hirajoshi,C#/Db D#/Eb E G#/Ab A
D Hirajoshi,D E F A A#/Bb
D#/Eb Hirajoshi,D#/Eb F F#/Gb A#/Bb B
E Hirajoshi,E F#/Gb G B C
F Hirajoshi,F G G#/Ab C C#/Db
F#/Gb Hirajoshi,F#/Gb G#/Ab A C#/Db D
G Hirajoshi,G A A#/Bb D D#/Eb
G#/Ab Hirajoshi,G#/Ab A#/Bb B D#/Eb E
A Hirajoshi,A B C E F
A#/Bb Hirajoshi,A#/Bb C C#/Db F F#/Gb
B Hirajoshi,B C#/Db D F#/Gb G
